Coad_ID,cenRA,cenDec
0121m046,12.15189,-4.543333
0121m061,12.151944,-6.057778
0121m303,12.173943,-30.288889
0121m425,12.134912,-42.404444
0121p000,12.100886,0.0
0121p015,12.100886,1.514444
0121p030,12.100894,3.028889
0121p045,12.15189,4.543333
0121p060,12.151944,6.057778
0121p302,12.173943,30.288889
0121p424,12.134912,42.404444
0122m076,12.203389,-7.572222
0122m091,12.255309,-9.086667
0122p075,12.203389,7.572222
0122p090,12.255309,9.086667
0123m107,12.307681,-10.601111
0123m122,12.360514,-12.115556
0123m319,12.353002,-31.803333
0123m531,12.328903,-53.005556
0123p106,12.307681,10.601111
0123p121,12.360514,12.115556
0123p318,12.353002,31.803333
0123p530,12.328903,53.005556
0124m137,12.413835,-13.63
0124m440,12.48546,-43.918889
0124p136,12.413835,13.63
0124p439,12.48546,43.918889
0125m152,12.52172,-15.144444
0125m167,12.576474,-16.658889
0125m334,12.599949,-33.317778
0125m697,12.558528,-69.664444
0125p151,12.52172,15.144444
0125p166,12.576474,16.658889
0125p333,12.599949,33.317778
0125p696,12.558528,69.664444
0126m182,12.687257,-18.173333
0126m621,12.631565,-62.092222
0126p181,12.687257,18.173333
0126p620,12.631565,62.092222
0127m349,12.791892,-34.832222
0127m455,12.78106,-45.433333
0127m546,12.766111,-54.52
0127p348,12.791892,34.832222
0127p454,12.78106,45.433333
0127p545,12.766111,54.52
0128m197,12.800025,-19.687778
0128m773,12.858035,-77.236667
0128p196,12.800025,19.687778
0128p772,12.858035,77.236667
0129m213,12.914844,-21.202222
0129p212,12.914844,21.202222
0130m228,13.031741,-22.716667
0130m364,13.056947,-36.346667
0130m470,13.091021,-46.947778
0130p227,13.031741,22.716667
0130p363,13.056947,36.346667
0130p469,13.091021,46.947778
0132m243,13.211007,-24.231111
0132m379,13.263242,-37.861111
0132m637,13.211282,-63.606667
0132p242,13.211007,24.231111
0132p378,13.263242,37.861111
0132p636,13.211282,63.606667
0133m258,13.333405,-25.745556
0133m561,13.333161,-56.034444
0133p257,13.333405,25.745556
0133p560,13.333161,56.034444
0134m485,13.499999,-48.462222
0134p484,13.499999,48.462222
0135m273,13.521178,-27.26
0135m394,13.548451,-39.375556
0135m712,13.500389,-71.178889
0135p272,13.521178,27.26
0135p393,13.548451,39.375556
0135p711,13.500389,71.178889
0136m016,13.613497,-1.514444
0136m031,13.613505,-3.028889
0136m046,13.670876,-4.543333
0136m061,13.670937,-6.057778
0136p000,13.613497,0.0
0136p015,13.613497,1.514444
0136p030,13.613505,3.028889
0136p045,13.670876,4.543333
0136p060,13.670937,6.057778
0137m076,13.728813,-7.572222
0137m091,13.787222,-9.086667
0137m288,13.714313,-28.774444
0137p075,13.728813,7.572222
0137p090,13.787222,9.086667
0137p287,13.714313,28.774444
0138m107,13.846141,-10.601111
0138m409,13.846218,-40.89
0138m576,13.846091,-57.548889
0138p106,13.846141,10.601111
0138p408,13.846218,40.89
0138p575,13.846091,57.548889
0139m122,13.905578,-12.115556
0139m137,13.965565,-13.63
0139m303,13.913078,-30.288889
0139m500,13.935416,-49.976667
0139m652,13.980656,-65.121111
0139p121,13.905578,12.115556
0139p136,13.965565,13.63
0139p302,13.913078,30.288889
0139p499,13.935416,49.976667
0139p651,13.980656,65.121111
0140m152,14.086935,-15.144444
0140p151,14.086935,15.144444
0141m167,14.148533,-16.658889
0141m319,14.117716,-31.803333
0141m425,14.157397,-42.404444
0141p166,14.148533,16.658889
0141p318,14.117716,31.803333
0141p424,14.157397,42.404444
0142m182,14.273164,-18.173333
0142p181,14.273164,18.173333
0143m334,14.399941,-33.317778
0143m515,14.304792,-51.491111
0143p333,14.399941,33.317778
0143p514,14.304792,51.491111
0144m197,14.400028,-19.687778
0144m591,14.400021,-59.063333
0144m788,14.401423,-78.751111
0144m849,14.404378,-84.808889
0144p196,14.400028,19.687778
0144p590,14.400021,59.063333
0144p787,14.401423,78.751111
0144p848,14.404378,84.808889
0145m213,14.529199,-21.202222
0145m440,14.56637,-43.918889
0145m727,14.595006,-72.693333
0145p212,14.529199,21.202222
0145p439,14.56637,43.918889
0145p726,14.595006,72.693333
0146m228,14.660709,-22.716667
0146m349,14.619305,-34.832222
0146p227,14.660709,22.716667
0146p348,14.619305,34.832222
0147m531,14.794684,-53.005556
0147p530,14.794684,53.005556
0148m243,14.862383,-24.231111
0148m667,14.845269,-66.635556
